project,display_name,target_path,source_type,source_url,status
Profile,IMG_6705_edited.jpg,assets/profile/headshot.jpg,wix,"https://static.wixstatic.com/media/e69878_e3f286838b4246b890450fe26ef4567a~mv2.jpg/v1/fill/w_1264%2Ch_575%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/IMG_6705_edited.jpg",identified_remote
Shield AI,V-BAT Swarm,assets/shield/vbat-swarm.jpg,wix,"https://static.wixstatic.com/media/e69878_9101a5a5bf8849cdbc845044663dce2a~mv2.jpg/v1/fill/w_250%2Ch_154%2Cal_c%2Cq_90%2Cenc_auto/e69878_9101a5a5bf8849cdbc845044663dce2a~mv2.jpg",identified_remote
Shield AI,V-BAT Ducted Fan,assets/shield/vbat-ducted-fan.jpg,wix,"https://static.wixstatic.com/media/e69878_10fb57cbe00c4894a506a7bedd2472cf~mv2.jpg/v1/fill/w_250%2Ch_163%2Cal_c%2Cq_90%2Cenc_auto/e69878_10fb57cbe00c4894a506a7bedd2472cf~mv2.jpg",identified_remote
SkySafe,SkySafe MM2 System,assets/skysafe/mm2-system.jpg,wix,"https://static.wixstatic.com/media/e69878_324bbb60064d4f6085c914038623a3fa~mv2.jpg/v1/fill/w_250%2Ch_155%2Cal_c%2Cq_90%2Cenc_auto/e69878_324bbb60064d4f6085c914038623a3fa~mv2.jpg",identified_remote
SkySafe,MM2 Internals,assets/skysafe/mm2-internals.webp,wix,"https://static.wixstatic.com/media/e69878_830a10f1e8b84d61a4cf8a5d94d3918a~mv2.webp/v1/fill/w_250%2Ch_374%2Cal_c%2Cq_90%2Cenc_auto/e69878_830a10f1e8b84d61a4cf8a5d94d3918a~mv2.webp",identified_remote
Reverb Industrial,Twisted Prism,assets/reverb/twisted-prism.jpg,wix,"https://static.wixstatic.com/media/e69878_bc08758940924d89975f0744ba031ae7~mv2.jpg/v1/fill/w_250%2Ch_187%2Cal_c%2Cq_90%2Cenc_auto/e69878_bc08758940924d89975f0744ba031ae7~mv2.jpg",identified_remote
Reverb Industrial,Tall and close ribs,assets/reverb/tall-close-ribs.jpg,wix,"https://static.wixstatic.com/media/e69878_c52f4337b8764d0a901a353ba0a330a5~mv2.jpg/v1/fill/w_250%2Ch_187%2Cal_c%2Cq_90%2Cenc_auto/e69878_c52f4337b8764d0a901a353ba0a330a5~mv2.jpg",identified_remote
SharkNinja,HyperAir dryer and accessories,assets/shark/hyperair-dryer-and-accessories.jpg,original_needed,,needs_original
SharkNinja,SpeedStyle early architecture / prototype,assets/shark/speedstyle-prototype.jpg,original_needed,,needs_original
SharkNinja,FlexStyle main product,assets/shark/flexstyle-main.jpg,original_needed,,needs_original
